Kod;BölünmeSonrasıSermaye(TL);Tarih;BedelliOran(%);BedelliNom.Tutar(TL);Diğer(*);BedelsizIKOran(%);BedelsizTemettüOran(%);NakitTem.Brüt(%);NakitTemettü(TL);HisseBaşıBrüt(TL)
TCELL;2200000000.0;2025-12-26;0.0;0.0;Nakit Temettü;0.0;0.0;181.81818;4000000000.0;1.8181818181818181
BIMAS;600000000.0;2025-12-17;0.0;0.0;Nakit Temettü;0.0;0.0;500.0;3000000000.0;5.0
ASELS;4560000000.0;2025-11-25;0.0;0.0;Nakit Temettü;0.0;0.0;23.46491;1070000000.0;0.23464912280701755
TUPRS;1926795598.0;2025-09-30;0.0;0.0;Nakit Temettü;0.0;0.0;742.16486;14300000000.0;7.421648676612764
BIMAS;600000000.0;2025-09-17;0.0;0.0;Nakit Temettü;0.0;0.0;400.0;2400000000.0;4.0
THYAO;1380000000.0;2025-09-02;0.0;0.0;Nakit Temettü;0.0;0.0;344.20289;4750000000.0;3.4420289855072466
ASTOR;998000000.0;2025-08-18;0.0;0.0;Nakit Temettü;0.0;0.0;151.20876;1509063425.0;1.512087600200401
EREGL;7000000000.0;2025-07-02;0.0;0.0;Nakit Temettü;0.0;0.0;25.0;1750000000.0;0.25
TCELL;2200000000.0;2025-06-20;0.0;0.0;Nakit Temettü;0.0;0.0;181.81818;4000000000.0;1.8181818181818181
ULKER;369275855.0;2025-06-19;0.0;0.0;Nakit Temettü;0.0;0.0;806.98479;2979999983.0;8.069847900020433
BIMAS;600000000.0;2025-06-18;0.0;0.0;Nakit Temettü;0.0;0.0;400.0;2400000000.0;4.0
EKGYO;3800000000.0;2025-06-16;0.0;0.0;Nakit Temettü;0.0;0.0;40.0;1520000000.0;0.4
THYAO;1380000000.0;2025-06-16;0.0;0.0;Nakit Temettü;0.0;0.0;344.20289;4750000000.0;3.4420289855072466
ENKAI;6000000000.0;2025-06-11;0.0;0.0;Nakit Temettü;0.0;0.0;31.66666;1900000000.0;0.31666666666666665
SISE;3063214056.17;2025-05-30;0.0;0.0;Nakit Temettü;0.0;0.0;65.29089;2000000000.0;0.6529089914469253
MGROS;181054233.0;2025-05-28;0.0;0.0;Nakit Temettü;0.0;0.0;690.40087;1250000000.0;6.904008701083503
AEFES;592105263.0;2025-05-27;0.0;0.0;Nakit Temettü;0.0;0.0;127.4;754342105.0;1.273999999895289
BIMAS;600000000.0;2025-05-13;-1.18577;-7200000.0;Sermaye Azaltılması;0.0;0.0;0.0;0.0;0.0
FROTO;3509100000.0;2025-05-07;0.0;0.0;Bedelsiz Sermaye Artırımı;900.0;0.0;0.0;0.0;0.0
ENKAI;6000000000.0;2025-04-16;0.0;0.0;Nakit Temettü;0.0;0.0;200.0;12000000000.0;2.0
KCHOL;2535898050.0;2025-04-10;0.0;0.0;Nakit Temettü;0.0;0.0;688.0;17446978584.0;6.88
FROTO;350910000.0;2025-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;1710.0;6000561000.0;17.1
TOASO;500000000.0;2025-04-03;0.0;0.0;Nakit Temettü;0.0;0.0;1200.0;6000000000.0;12.0
CIMSA;945591094.0;2025-04-02;0.0;0.0;Nakit Temettü;0.0;0.0;63.45237;600000000.0;0.6345237426696829
SAHOL;2100375969.18;2025-04-02;0.0;0.0;Nakit Temettü;0.0;0.0;300.0;6301127908.0;3.0000000002190084
TUPRS;1926795598.0;2025-03-28;0.0;0.0;Nakit Temettü;0.0;0.0;778.49461;15000000000.0;7.784946164279123
GARAN;4200000000.0;2025-03-28;0.0;0.0;Nakit Temettü;0.0;0.0;438.92854;18434998680.0;4.3892854
ISCTR;24999970000.0;2025-03-28;0.0;0.0;Nakit Temettü;0.0;0.0;18.20695;5162078805.0;0.20648339998007997
AKBNK;5200000000.0;2025-03-26;0.0;0.0;Nakit Temettü;0.0;0.0;122.2;6354400000.0;1.222
BIMAS;607200000.0;2024-12-18;0.0;0.0;Nakit Temettü;0.0;0.0;400.0;2428800000.0;4.0
SASA;43815615361.0;2024-12-09;0.0;0.0;Rüçhan Hakkı Kısıtlanarak;0.0;0.0;0.0;0.0;0.0
TCELL;2200000000.0;2024-12-05;0.0;0.0;Nakit Temettü;0.0;0.0;285.31809;6276998060.0;2.8531809363636365
