Hisse Kodu;Dağıtma Tarihi;Temettü Verimi (%);Hisse Başına Brüt TL;Brüt Temettü Oranı (%);Hisse Başına Net TL;Net Temettü Oranı (%)
AKBNK;26032025;2.18;1.2220;122.20;103.87;6354400000;15
AKBNK;26032024;4.17;1.9175;191.75;172.58;9971000000;15
AKBNK;30032023;9.28;1.7300;173.00;155.70;8996000000;15
AKBNK;30032022;3.17;0.2330;23.30;20.97;1211600000;10
AKBNK;26032021;2.48;0.1204;12.04;10.23;626080000;10
AKBNK;28032018;4.12;0.4000;40.00;34.00;1600000000;26
AKBNK;30032017;2.56;0.2250;22.50;19.13;900000000;19
AKBNK;30032016;1.89;0.1500;15.00;12.75;600000000;20
AKBNK;30032015;1.82;0.1424;14.24;12.10;569600000;18
AKBNK;30032014;1.69;0.1167;11.67;9.92;466800000;16
AKBNK;28032013;1.50;0.1425;14.25;12.11;570000000;19
AKBNK;02042012;1.49;0.1045;10.45;8.83;418000000;17
AKBNK;22032011;1.83;0.1425;14.25;12.11;570000000;20
AKBNK;30032010;1.78;0.1800;18.00;15.30;540000000;20
AKBNK;31032009;2.50;0.1200;12.00;12.00;360000000;21
AKBNK;31032008;4.10;0.2400;24.00;20.04;720000000;35
AKBNK;30032007;3.17;0.3000;30.00;25.50;660000000;42
AKBNK;29032006;2.70;0.3000;30.00;27.00;540001363;37
AKBNK;28032005;3.68;0.2500;25.00;22.50;375000000;37
AKBNK;30032004;3.42;0.2500;25.00;22.50;300000000;23
AKBNK;26032003;1.20;0.0529;5.29;5.00;43174603;7
AKBNK;29032001;1.59;0.0525;5.25;5.00;26250000;8
AKBNK;27032000;1.22;0.1586;15.86;15.00;39650000;A/D
AKBNK;19051999;8.55;0.6500;65.00;65.00;81250000;A/D
AKBNK;19051998;10.75;1.0000;100.00;100.00;50000000;A/D
AKBNK;08041997;12.24;1.2000;120.00;120.00;21600000;A/D
AEFES;27052025;0.84;1.2740;127.40;108.29;754342105;5
AEFES;28052024;1.13;2.3500;235.00;211.50;1391447368;4
AEFES;18092023;1.02;1.0657;106.57;95.91;631006579;4
AEFES;23052023;1.80;1.0657;106.57;95.91;631006579;4
AEFES;20052022;6.13;1.8545;185.45;166.91;1098059210;103
AEFES;28052021;7.85;1.9348;193.48;164.46;1145605263;141
AEFES;14072020;7.81;1.7740;177.40;150.79;1050394737;102
AEFES;31052019;2.56;0.5068;50.68;43.08;300078947;A/D
AEFES;29052018;1.61;0.4224;42.24;35.90;250105263;167
AEFES;29052017;1.16;0.2450;24.50;20.83;145065789;A/D
AEFES;30052016;1.29;0.2450;24.50;20.83;145065789;A/D
AEFES;29052015;1.90;0.4600;46.00;39.10;272368421;A/D
AEFES;30052013;1.69;0.4500;45.00;38.25;266447368;44
AEFES;29052012;1.96;0.4500;45.00;38.25;202500000;59
AEFES;27052011;2.11;0.4800;48.00;40.80;216000000;43
AEFES;28052010;1.80;0.3200;32.00;27.20;144000000;34
AEFES;28052009;2.02;0.2580;25.80;21.93;116100000;37
AEFES;29052008;2.18;0.2530;25.30;21.51;113850000;30
AEFES;27052007;1.68;0.8500;85.00;73.23;95945296;36
AEFES;28052006;2.10;0.8500;85.00;77.80;95945296;33
AEFES;29052005;3.06;0.8500;85.00;77.40;95945296;41
AEFES;13062004;4.08;0.7500;75.00;67.95;84657614;37
AEFES;29052003;0.67;0.2000;20.00;20.00;10033495;39
AEFES;30052001;0.41;0.2007;20.07;20.00;5034243;32
ASELS;25112025;0.17;0.2346;23.46;19.95;1070000000;6
ASELS;25112024;0.16;0.1118;11.18;10.07;510000000;5
ASELS;22112023;0.19;0.0877;8.77;7.89;400000000;31
ASELS;16112022;0.49;0.2018;20.18;18.16;460000000;6
ASELS;19112021;0.94;0.1754;17.54;14.91;400000000;9
ASELS;18122020;0.27;0.0490;4.90;4.16;55833324;2
ASELS;16102020;0.27;0.0490;4.90;4.16;55833324;2
ASELS;17072020;0.30;0.0980;9.80;8.33;111666648;3
ASELS;18122019;0.26;0.0509;5.09;4.32;57999894;3
ASELS;18092019;0.26;0.0509;5.09;4.32;57999894;3
ASELS;19062019;0.28;0.0509;5.09;4.32;57999894;3
ASELS;13122018;0.10;0.0247;2.47;2.10;28199952;2
ASELS;13092018;0.10;0.0247;2.47;2.10;28199952;2
ASELS;19062018;0.13;0.0247;2.47;2.10;28199952;2
ASELS;14122017;0.08;0.0252;2.52;2.14;25166600;3
ASELS;14092017;0.09;0.0252;2.52;2.14;25166700;3
ASELS;08062017;0.12;0.0252;2.52;2.14;25166700;3
ASELS;01122016;0.13;0.0140;1.40;1.19;14000000;7
ASELS;26092016;0.14;0.0140;1.40;1.19;14000000;7
ASELS;10062016;0.15;0.0140;1.40;1.19;14000000;7
ASELS;29052015;0.90;0.1300;13.00;11.05;65000000;17
ASELS;30052014;0.53;0.0500;5.00;4.25;25000000;11
ASELS;31052013;1.44;0.1570;15.70;13.35;78500000;26
ASELS;31052012;2.02;0.1975;19.75;16.79;46456740;29
ASELS;30052011;1.61;0.1390;13.90;11.82;32696136;14
ASELS;31052010;3.86;0.4900;49.00;41.65;57629880;31
ASELS;29052009;1.20;0.0500;5.00;4.25;5880600;48
ASELS;30052008;4.13;0.9500;95.00;80.75;27932850;28
ASELS;30052007;2.83;0.8000;80.00;68.00;23522400;31
ASELS;30052006;3.27;0.9000;90.00;81.00;26462700;29
ASELS;29052005;3.85;0.7000;70.00;63.00;20582100;36
ASELS;28092003;4.18;0.4721;47.21;44.91;13881156;28
ASELS;29052003;2.73;0.2540;25.40;24.17;7468362;15
ASELS;30052001;0.95;0.1000;10.00;10.00;980100;22
ASELS;30051999;0.56;0.1000;10.00;10.00;326700;A/D
ASELS;27051997;1.74;0.2000;20.00;20.00;290400;A/D
ASTOR;18082025;1.58;1.5121;151.21;128.53;1509063425;27
ASTOR;31072024;1.36;1.3205;132.05;118.84;1317841635;20
ASTOR;02052023;1.07;0.5290;52.90;47.61;527975233;26
BIMAS;17122025;0.96;5.0000;500.00;425.00;3000000000;15
BIMAS;17092025;0.77;4.0000;400.00;340.00;2400000000;12
BIMAS;18062025;0.77;4.0000;400.00;340.00;2400000000;12
BIMAS;18122024;0.77;4.0000;400.00;360.00;2428800000;11
BIMAS;02102024;0.83;4.0000;400.00;360.00;2428800000;11
BIMAS;17072024;0.34;2.0000;200.00;180.00;1214400000;5
BIMAS;20122023;0.98;3.0000;300.00;270.00;1821600000;11
BIMAS;14062023;1.21;2.0000;200.00;180.00;1214400000;7
BIMAS;14122022;1.13;1.5000;150.00;135.00;1639440000;56
BIMAS;15062022;1.79;1.5000;150.00;135.00;1639440000;56
BIMAS;17112021;3.01;2.0000;200.00;170.00;1214400000;47
BIMAS;20052021;3.05;2.0000;200.00;170.00;1214400000;47
BIMAS;08012021;2.60;2.0000;200.00;170.00;1214400000;47
BIMAS;13052020;0.97;0.5000;50.00;42.50;303600000;25
BIMAS;11122019;0.90;0.4000;40.00;34.00;242880000;19
BIMAS;18112019;1.30;0.6000;60.00;51.00;364320000;29
BIMAS;12062019;1.53;1.2000;120.00;102.00;364320000;29
BIMAS;07112018;1.01;0.8000;80.00;68.00;242880000;28
BIMAS;06062018;1.65;1.1000;110.00;93.50;333960000;39
BIMAS;08112017;0.74;0.6000;60.00;51.00;182160000;27
BIMAS;07062017;1.40;0.9000;90.00;76.50;273240000;41
BIMAS;07112016;1.05;0.5000;50.00;42.50;151800000;26
BIMAS;06062016;1.03;0.6000;60.00;51.00;182160000;31
BIMAS;21102015;0.67;0.4000;40.00;34.00;121440000;31
BIMAS;20052015;0.99;0.5000;50.00;42.50;151800000;38
BIMAS;15102014;0.63;0.3000;30.00;25.50;91080000;22
BIMAS;21052014;1.07;0.5000;50.00;42.50;151800000;37
BIMAS;24052013;1.57;1.4500;145.00;123.25;220110000;66
BIMAS;25052012;1.77;1.3000;130.00;110.50;197340000;66
BIMAS;17052011;2.31;1.2000;120.00;102.00;182160000;74
BIMAS;18052010;2.08;1.7500;175.00;148.75;132825000;62
BIMAS;22112009;0.74;0.4500;45.00;38.25;34155000;30
BIMAS;27052009;1.67;0.8000;80.00;68.00;60720000;53
BIMAS;28052008;1.45;1.9000;190.00;161.15;48070000;44
BIMAS;15052007;2.78;2.2000;220.00;187.00;55660000;77
BIMAS;19042006;2.38;1.0000;100.00;90.00;25300000;84
CIMSA;02042025;1.23;0.6345;63.45;53.93;600000000;20
CIMSA;29042024;3.21;1.0575;105.75;95.18;1000000000;28
CIMSA;03042023;3.17;2.9611;296.11;266.50;400000000;10
CIMSA;31032022;4.10;1.4806;148.06;133.25;200000000;20
CIMSA;29032018;3.62;0.5000;50.00;42.50;67542221;30
CIMSA;29032017;8.48;1.4200;142.00;120.70;191819908;78
CIMSA;30032016;9.07;1.4900;149.00;126.65;201275819;82
CIMSA;30032015;7.85;1.2920;129.20;109.82;174529099;90
CIMSA;27032014;9.34;1.1540;115.40;98.09;155887446;52
CIMSA;01042013;6.54;0.7260;72.60;61.71;98071305;85
CIMSA;26042012;8.76;0.7900;79.00;67.15;106716709;86
CIMSA;07042011;6.65;0.7020;70.20;59.67;94829278;91
CIMSA;15042010;6.41;0.6060;60.60;51.51;81861172;76
CIMSA;25052009;9.50;0.4294;42.94;36.50;58005259;76
CIMSA;14042008;14.90;1.1100;111.00;94.35;149943731;52
CIMSA;14052007;8.74;0.8700;87.00;73.95;105535872;78
CIMSA;03052006;3.25;0.3700;37.00;33.30;44883072;46
CIMSA;27042005;8.09;0.3900;39.00;35.10;47309184;73
CIMSA;27042004;6.13;0.2100;21.00;18.90;25474176;50
CIMSA;13042003;10.08;0.4890;48.90;47.00;32954264;87
CIMSA;02042002;17.29;1.2797;127.97;125.00;21561909;76
CIMSA;08042001;4.53;0.3900;39.00;39.00;6570720;49
CIMSA;27042000;1.91;0.3100;31.00;31.00;5223000;A/D
CIMSA;04051999;5.33;1.0000;100.00;100.00;4212000;A/D
CIMSA;28051998;2.49;0.3800;38.00;38.00;1600560;A/D
CIMSA;25051997;2.17;0.3900;39.00;39.00;547560;A/D
EKGYO;16062025;2.59;0.4000;40.00;40.00;1520000000;11
EKGYO;12042023;3.28;0.2390;23.90;23.90;908200000;69
EKGYO;25042022;3.53;0.1027;10.27;10.27;390260000;27
